"","Anexo","cod_orgao","nom_orgao","mes","ano","pg_mes","lim_sq_sd","pg_sd","cred_sd","a_liq_sd","liq_a_pg_sd","nome_orgao","lim_pag"
"75","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",10,"2019",31220.50193,28298.35756,395948.09343,103585.00203,34729345.64669,8768.38981,"Ministério de Minas e Energia",3414750
"76","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",11,"2019",78817.19872,23196.01668,474765.29215,137947.93822,34700100.24888,7970.22536,"Ministério de Minas e Energia",3802790
"77","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",12,"2019",34482829.09164,37062.58763,34957594.38379,274377.62541,11347.783260007,5017.79315,"Ministério de Minas e Energia",4190830
"78","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",2,"2019",128122.832400821,8381.63442,218844.28731466,1436150.34188894,90245.0628682183,4609.67413843007,"Ministério das Relações Exteriores",182068
"79","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",3,"2019",112090.295717279,27153.68105,330934.583031939,1336446.40813213,87970.7677091206,5513.08224752605,"Ministério das Relações Exteriores",273102
"80","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",4,"2019",146359.895258844,10684.7699,477294.478290783,871051.851766911,82040.9660966189,5626.42842845232,"Ministério das Relações Exteriores",424825
"81","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",5,"2019",121464.945622652,9113.56777,598759.423913435,634529.476278436,78410.0355100267,5306.40876656377,"Ministério das Relações Exteriores",576548
"82","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",6,"2019",107341.248640006,8193.08039,706100.672553441,501516.387142393,89835.2009002663,5864.89148633544,"Ministério das Relações Exteriores",728271
"83","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",7,"2019",119634.582655977,3730.22077,825735.255209418,321991.020143501,135630.080014397,4173.29070113244,"Ministério das Relações Exteriores",879994
"84","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",8,"2019",193126.505899708,8529.36354,1018861.76110913,172470.112393171,133748.27829408,6004.1379318906,"Ministério das Relações Exteriores",1031718
"85","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",9,"2019",138404.344100852,9445.04005,1157266.10520998,311145.473448878,107654.693715911,6876.69289278004,"Ministério das Relações Exteriores",1183441
"86","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",10,"2019",110095.227547311,18769.63079,1267361.33275729,201849.549685925,97892.0747024431,6326.96803557171,"Ministério das Relações Exteriores",1335164
"87","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",11,"2019",189593.950273698,185953.55872,1456955.28303099,221291.045964065,108245.195676553,8305.03300266075,"Ministério das Relações Exteriores",1486887
